"Label (Grouping)","Alabama!!Number","Alabama!!Percent","Florida!!Number","Florida!!Percent","Georgia!!Number","Georgia!!Percent","Louisiana!!Number","Louisiana!!Percent","Mississippi!!Number","Mississippi!!Percent","North Carolina!!Number","North Carolina!!Percent","South Carolina!!Number","South Carolina!!Percent","Texas!!Number","Texas!!Percent","Virginia!!Number","Virginia!!Percent","Puerto Rico!!Number","Puerto Rico!!Percent"
"Total housing units","1,963,711","100.0","7,302,947","100.0","3,281,737","100.0","1,847,181","100.0","1,161,953","100.0","3,523,944","100.0","1,753,670","100.0","8,157,575","100.0","2,904,192","100.0","1,418,476","100.0"
"    UNITS IN STRUCTURE","","","","","","","","","","","","","","","","","","","",""
"        1-unit, detached","1,300,272","66.2","3,816,527","52.3","2,107,317","64.2","1,184,167","64.1","791,569","68.1","2,267,890","64.4","1,078,678","61.5","5,171,892","63.4","1,810,353","62.3","969,801","68.4"
"        1-unit, attached","38,560","2.0","429,457","5.9","94,150","2.9","70,863","3.8","20,145","1.7","106,066","3.0","40,185","2.3","249,018","3.1","279,789","9.6","217,900","15.4"
"        2 units","43,427","2.2","196,327","2.7","90,370","2.8","74,492","4.0","28,401","2.4","88,507","2.5","43,607","2.5","170,679","2.1","59,766","2.1","32,127","2.3"
"        3 or 4 units","64,084","3.3","313,631","4.3","132,535","4.0","83,524","4.5","38,594","3.3","114,188","3.2","57,981","3.3","272,988","3.3","94,496","3.3","39,516","2.8"
"        5 to 9 units","74,809","3.8","363,281","5.0","173,385","5.3","56,990","3.1","39,025","3.4","151,649","4.3","77,598","4.4","356,073","4.4","146,458","5.0","45,292","3.2"
"        10 to 19 units","46,830","2.4","366,197","5.0","129,276","3.9","39,933","2.2","17,215","1.5","111,985","3.2","41,561","2.4","351,859","4.3","152,821","5.3","38,078","2.7"
"        20 or more units","71,419","3.6","940,712","12.9","155,453","4.7","91,139","4.9","31,365","2.7","100,469","2.9","56,005","3.2","819,101","10.0","171,881","5.9","69,879","4.9"
"        Mobile home","319,212","16.3","849,304","11.6","394,938","12.0","240,944","13.0","192,749","16.6","577,323","16.4","355,499","20.3","731,652","9.0","185,282","6.4","5,641","0.4"
"        Boat, RV, van, etc.","5,098","0.3","27,511","0.4","4,313","0.1","5,129","0.3","2,890","0.2","5,867","0.2","2,556","0.1","34,313","0.4","3,346","0.1","242","0.0"
"    YEAR STRUCTURE BUILT","","","","","","","","","","","","","","","","","","","",""
"        1999 to March 2000","56,336","2.9","214,120","2.9","130,695","4.0","40,582","2.2","36,105","3.1","144,500","4.1","63,539","3.6","285,423","3.5","73,440","2.5","33,162","2.3"
"        1995 to 1998","199,400","10.2","674,760","9.2","413,557","12.6","123,982","6.7","118,945","10.2","431,764","12.3","206,016","11.7","788,815","9.7","234,463","8.1","120,443","8.5"
"        1990 to 1994","187,261","9.5","768,470","10.5","370,878","11.3","105,327","5.7","101,265","8.7","373,721","10.6","184,176","10.5","615,612","7.5","271,818","9.4","130,367","9.2"
"        1980 to 1989","347,272","17.7","1,916,430","26.2","721,174","22.0","339,849","18.4","214,865","18.5","692,633","19.7","362,092","20.6","1,843,009","22.6","570,178","19.6","269,528","19.0"
"        1970 to 1979","400,128","20.4","1,686,263","23.1","608,926","18.6","415,167","22.5","262,509","22.6","641,117","18.2","349,513","19.9","1,753,545","21.5","570,065","19.6","356,671","25.1"
"        1960 to 1969","292,352","14.9","934,219","12.8","416,047","12.7","300,717","16.3","179,489","15.4","447,988","12.7","227,757","13.0","1,096,908","13.4","404,533","13.9","294,243","20.7"
"        1940 to 1959","341,735","17.4","899,664","12.3","427,488","13.0","365,291","19.8","176,394","15.2","536,608","15.2","253,438","14.5","1,336,454","16.4","515,153","17.7","175,319","12.4"
"        1939 or earlier","139,227","7.1","209,021","2.9","192,972","5.9","156,266","8.5","72,381","6.2","255,613","7.3","107,139","6.1","437,809","5.4","264,542","9.1","38,743","2.7"
"    ROOMS","","","","","","","","","","","","","","","","","","","",""
"        1 room","15,674","0.8","172,853","2.4","35,912","1.1","23,452","1.3","8,511","0.7","26,948","0.8","10,444","0.6","207,639","2.5","34,056","1.2","41,213","2.9"
"        2 rooms","50,793","2.6","442,807","6.1","117,344","3.6","75,378","4.1","35,521","3.1","99,646","2.8","42,737","2.4","510,542","6.3","93,344","3.2","146,918","10.4"
"        3 rooms","136,843","7.0","840,626","11.5","261,022","8.0","175,962","9.5","95,610","8.2","244,392","6.9","119,708","6.8","981,597","12.0","205,183","7.1","400,060","28.2"
"        4 rooms","316,769","16.1","1,418,028","19.4","493,235","15.0","332,103","18.0","189,849","16.3","646,267","18.3","307,840","17.6","1,328,543","16.3","409,747","14.1","200,979","14.2"
"        5 rooms","482,133","24.6","1,657,617","22.7","705,868","21.5","468,750","25.4","316,111","27.2","913,760","25.9","437,605","25.0","1,833,437","22.5","558,559","19.2","326,403","23.0"
"        6 rooms","425,854","21.7","1,295,505","17.7","663,551","20.2","361,634","19.6","247,322","21.3","697,882","19.8","371,856","21.2","1,474,159","18.1","514,410","17.7","191,480","13.5"
"        7 rooms","257,321","13.1","774,119","10.6","414,712","12.6","206,683","11.2","137,633","11.8","407,780","11.6","228,049","13.0","856,297","10.5","396,746","13.7","71,146","5.0"
"        8 rooms","146,620","7.5","420,337","5.8","285,280","8.7","112,280","6.1","72,115","6.2","249,285","7.1","129,163","7.4","501,265","6.1","326,153","11.2","25,376","1.8"
"        9 or more rooms","131,704","6.7","281,055","3.8","304,813","9.3","90,939","4.9","59,281","5.1","237,984","6.8","106,268","6.1","464,096","5.7","365,994","12.6","14,901","1.1"
"        Median (rooms)","5.5","(X)","5.0","(X)","5.5","(X)","5.2","(X)","5.3","(X)","5.3","(X)","5.4","(X)","5.1","(X)","5.8","(X)","4.1","(X)"
"Occupied Housing Units","1,737,080","100.0","6,337,929","100.0","3,006,369","100.0","1,656,053","100.0","1,046,434","100.0","3,132,013","100.0","1,533,854","100.0","7,393,354","100.0","2,699,173","100.0","1,261,325","100.0"
"    YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","","","","","","","","","",""
"        1999 to March 2000","329,027","18.9","1,420,535","22.4","687,586","22.9","309,663","18.7","195,298","18.7","652,745","20.8","301,556","19.7","1,842,731","24.9","548,950","20.3","158,173","12.5"
"        1995 to 1998","483,535","27.8","1,991,209","31.4","939,683","31.3","446,127","26.9","282,822","27.0","910,690","29.1","434,141","28.3","2,233,669","30.2","782,914","29.0","277,014","22.0"
"        1990 to 1994","277,851","16.0","1,099,721","17.4","468,855","15.6","258,185","15.6","166,167","15.9","479,481","15.3","236,870","15.4","1,126,526","15.2","430,473","15.9","186,066","14.8"
"        1980 to 1989","261,448","15.1","1,074,907","17.0","429,041","14.3","253,627","15.3","167,536","16.0","458,864","14.7","237,812","15.5","1,030,476","13.9","435,640","16.1","249,630","19.8"
"        1970 to 1979","189,797","10.9","478,089","7.5","252,348","8.4","194,288","11.7","120,899","11.6","303,106","9.7","160,321","10.5","630,749","8.5","250,105","9.3","210,803","16.7"
"        1969 or earlier","195,422","11.3","273,468","4.3","228,856","7.6","194,163","11.7","113,712","10.9","327,127","10.4","163,154","10.6","529,203","7.2","251,091","9.3","179,639","14.2"
"    VEHICLES AVAILABLE","","","","","","","","","","","","","","","","","","","",""
"        None","143,594","8.3","515,455","8.1","248,546","8.3","196,305","11.9","96,718","9.2","235,339","7.5","138,337","9.0","548,125","7.4","206,604","7.7","361,981","28.7"
"        1","560,684","32.3","2,626,233","41.4","971,411","32.3","613,285","37.0","357,797","34.2","1,010,563","32.3","515,334","33.6","2,658,321","36.0","853,080","31.6","493,673","39.1"
"        2","663,256","38.2","2,419,707","38.2","1,195,894","39.8","629,350","38.0","395,129","37.8","1,250,640","39.9","599,534","39.1","3,024,813","40.9","1,068,102","39.6","311,509","24.7"
"        3 or more","369,546","21.3","776,534","12.3","590,518","19.6","217,113","13.1","196,790","18.8","635,471","20.3","280,649","18.3","1,162,095","15.7","571,387","21.2","94,162","7.5"
"    HOUSE HEATING FUEL","","","","","","","","","","","","","","","","","","","",""
"        Utility gas","661,032","38.1","377,299","6.0","1,470,824","48.9","776,540","46.9","389,021","37.2","757,777","24.2","402,555","26.2","3,192,579","43.2","918,956","34.0","3,010","0.2"
"        Bottled, tank, or LP gas","243,761","14.0","226,573","3.6","323,977","10.8","81,681","4.9","216,498","20.7","394,275","12.6","131,334","8.6","469,684","6.4","138,595","5.1","113,118","9.0"
"        Electricity","798,542","46.0","5,527,713","87.2","1,151,346","38.3","774,936","46.8","416,322","39.8","1,528,885","48.8","895,132","58.4","3,651,110","49.4","1,178,739","43.7","392,034","31.1"
"        Fuel oil, kerosene, etc.","7,348","0.4","70,496","1.1","18,769","0.6","2,492","0.2","2,027","0.2","368,279","11.8","78,331","5.1","5,452","0.1","362,618","13.4","380","0.0"
"        Coal or coke","582","0.0","284","0.0","204","0.0","89","0.0","66","0.0","464","0.0","183","0.0","341","0.0","5,592","0.2","50","0.0"
"        Wood","19,548","1.1","16,538","0.3","29,141","1.0","12,647","0.8","17,736","1.7","65,657","2.1","19,290","1.3","32,046","0.4","78,994","2.9","245","0.0"
"        Solar energy","216","0.0","2,527","0.0","612","0.0","306","0.0","196","0.0","1,266","0.0","447","0.0","1,621","0.0","791","0.0","16,493","1.3"
"        Other fuel","1,715","0.1","4,744","0.1","2,457","0.1","1,868","0.1","1,472","0.1","6,543","0.2","2,105","0.1","9,556","0.1","7,872","0.3","847","0.1"
"        No fuel used","4,336","0.2","111,755","1.8","9,039","0.3","5,494","0.3","3,096","0.3","8,867","0.3","4,477","0.3","30,965","0.4","7,016","0.3","735,148","58.3"
"    SELECTED CHARACTERISTICS","","","","","","","","","","","","","","","","","","","",""
"        Lacking complete plumbing facilities","11,005","0.6","30,134","0.5","17,117","0.6","10,717","0.6","9,015","0.9","19,295","0.6","9,521","0.6","54,853","0.7","19,550","0.7","65,640","5.2"
"        Lacking complete kitchen facilities","9,660","0.6","35,010","0.6","15,161","0.5","10,726","0.6","7,470","0.7","16,202","0.5","8,398","0.5","53,511","0.7","15,070","0.6","18,617","1.5"
"        No telephone service","73,557","4.2","139,891","2.2","96,140","3.2","69,488","4.2","68,532","6.5","94,937","3.0","63,775","4.2","234,909","3.2","57,656","2.1","300,670","23.8"
"OCCUPANTS PER ROOM","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","1,737,080","100.0","6,337,929","100.0","3,006,369","100.0","1,656,053","100.0","1,046,434","100.0","3,132,013","100.0","1,533,854","100.0","7,393,354","100.0","2,699,173","100.0","1,261,325","100.0"
"        1.00 or less","1,686,076","97.1","5,927,582","93.5","2,861,134","95.2","1,569,627","94.8","994,817","95.1","3,025,254","96.6","1,484,516","96.8","6,695,841","90.6","2,612,717","96.8","1,017,263","80.7"
"        1.01 to 1.50","35,100","2.0","215,294","3.4","88,474","2.9","57,282","3.5","35,419","3.4","69,483","2.2","34,508","2.2","361,794","4.9","52,319","1.9","139,710","11.1"
"        1.51 or more","15,904","0.9","195,053","3.1","56,761","1.9","29,144","1.8","16,198","1.5","37,276","1.2","14,830","1.0","335,719","4.5","34,137","1.3","104,352","8.3"
"Specified owner-occupied units","918,570","100.0","3,242,202","100.0","1,596,408","100.0","864,810","100.0","532,291","100.0","1,615,713","100.0","783,909","100.0","3,849,585","100.0","1,510,798","100.0","817,927","100.0"
"    VALUE","","","","","","","","","","","","","","","","","","","",""
"        Less than $50,000","176,187","19.2","232,080","7.2","151,952","9.5","169,223","19.6","151,982","28.6","140,292","8.7","103,516","13.2","875,444","22.7","91,881","6.1","227,248","27.8"
"        $50,000 to $99,999","392,400","42.7","1,287,169","39.7","545,851","34.2","369,252","42.7","234,011","44.0","591,362","36.6","320,410","40.9","1,561,509","40.6","462,870","30.6","380,055","46.5"
"        $100,000 to $149,999","180,391","19.6","839,775","25.9","411,817","25.8","173,997","20.1","82,508","15.5","421,786","26.1","173,497","22.1","700,830","18.2","373,288","24.7","115,021","14.1"
"        $150,000 to $199,999","84,488","9.2","407,296","12.6","211,796","13.3","78,622","9.1","33,465","6.3","219,174","13.6","86,657","11.1","335,179","8.7","233,999","15.5","46,125","5.6"
"        $200,000 to $299,999","52,724","5.7","270,659","8.3","163,422","10.2","47,645","5.5","20,681","3.9","152,531","9.4","58,246","7.4","223,968","5.8","209,613","13.9","31,238","3.8"
"        $300,000 to $499,999","23,363","2.5","132,683","4.1","81,487","5.1","18,778","2.2","7,009","1.3","66,292","4.1","28,626","3.7","104,821","2.7","107,093","7.1","12,528","1.5"
"        $500,000 to $999,999","7,052","0.8","54,446","1.7","25,025","1.6","5,955","0.7","1,733","0.3","20,265","1.3","9,893","1.3","37,697","1.0","28,041","1.9","4,341","0.5"
"        $1,000,000 or more","1,965","0.2","18,094","0.6","5,058","0.3","1,338","0.2","902","0.2","4,011","0.2","3,064","0.4","10,137","0.3","4,013","0.3","1,371","0.2"
"        Median (dollars)","85,100","(X)","105,500","(X)","111,200","(X)","85,000","(X)","71,400","(X)","108,300","(X)","94,900","(X)","82,500","(X)","125,400","(X)","75,100","(X)"
"    MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS","","","","","","","","","","","","","","","","","","","",""
"        With a mortgage","587,895","64.0","2,323,452","71.7","1,201,569","75.3","516,660","59.7","330,697","62.1","1,116,287","69.1","523,848","66.8","2,471,978","64.2","1,135,138","75.1","307,109","37.5"
"            Less than $300","10,262","1.1","12,975","0.4","9,945","0.6","9,061","1.0","9,848","1.9","8,652","0.5","6,288","0.8","20,398","0.5","7,700","0.5","26,897","3.3"
"            $300 to $499","68,978","7.5","122,608","3.8","62,752","3.9","59,994","6.9","51,018","9.6","68,577","4.2","45,330","5.8","165,939","4.3","53,357","3.5","74,915","9.2"
"            $500 to $699","134,983","14.7","335,230","10.3","151,935","9.5","117,134","13.5","83,384","15.7","164,915","10.2","98,514","12.6","374,627","9.7","119,751","7.9","80,245","9.8"
"            $700 to $999","180,970","19.7","683,336","21.1","340,221","21.3","163,772","18.9","100,425","18.9","331,732","20.5","163,177","20.8","706,875","18.4","271,257","18.0","69,657","8.5"
"            $1,000 to $1,499","130,570","14.2","700,028","21.6","382,584","24.0","113,638","13.1","60,236","11.3","341,818","21.2","136,760","17.4","710,869","18.5","357,075","23.6","36,691","4.5"
"            $1,500 to $1,999","38,595","4.2","266,771","8.2","148,180","9.3","31,802","3.7","16,843","3.2","121,996","7.6","44,792","5.7","278,944","7.2","188,573","12.5","10,881","1.3"
"            $2,000 or more","23,537","2.6","202,504","6.2","105,952","6.6","21,259","2.5","8,943","1.7","78,597","4.9","28,987","3.7","214,326","5.6","137,425","9.1","7,823","1.0"
"            Median (dollars)","816","(X)","1,004","(X)","1,039","(X)","816","(X)","752","(X)","985","(X)","894","(X)","986","(X)","1,144","(X)","625","(X)"
"        Not mortgaged","330,675","36.0","918,750","28.3","394,839","24.7","348,150","40.3","201,594","37.9","499,426","30.9","260,061","33.2","1,377,607","35.8","375,660","24.9","510,818","62.5"
"            Median (dollars)","228","(X)","306","(X)","259","(X)","232","(X)","232","(X)","254","(X)","240","(X)","296","(X)","263","(X)","124","(X)"
"    SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN 1999","","","","","","","","","","","","","","","","","","","",""
"        Less than 15 percent","399,917","43.5","1,107,462","34.2","581,615","36.4","395,010","45.7","225,719","42.4","609,586","37.7","320,341","40.9","1,568,141","40.7","536,260","35.5","330,761","40.4"
"        15 to 19 percent","156,176","17.0","546,299","16.8","293,480","18.4","138,608","16.0","85,178","16.0","285,718","17.7","136,112","17.4","701,804","18.2","278,247","18.4","90,125","11.0"
"        20 to 24 percent","110,978","12.1","443,882","13.7","225,005","14.1","94,953","11.0","61,336","11.5","222,935","13.8","100,301","12.8","509,176","13.2","228,390","15.1","70,746","8.6"
"        25 to 29 percent","67,849","7.4","307,703","9.5","147,360","9.2","60,192","7.0","39,231","7.4","147,582","9.1","64,940","8.3","315,316","8.2","151,378","10.0","53,826","6.6"
"        30 to 34 percent","42,840","4.7","204,169","6.3","91,954","5.8","38,474","4.4","26,433","5.0","92,183","5.7","40,544","5.2","192,337","5.0","94,216","6.2","41,045","5.0"
"        35 percent or more","127,930","13.9","601,349","18.5","242,927","15.2","123,015","14.2","85,408","16.0","242,455","15.0","112,189","14.3","522,231","13.6","213,042","14.1","196,785","24.1"
"        Not computed","12,880","1.4","31,338","1.0","14,067","0.9","14,558","1.7","8,986","1.7","15,254","0.9","9,482","1.2","40,580","1.1","9,265","0.6","34,639","4.2"
"Specified renter-occupied units","469,129","100.0","1,889,455","100.0","964,446","100.0","525,722","100.0","282,500","100.0","944,275","100.0","421,146","100.0","2,649,196","100.0","843,433","100.0","339,426","100.0"
"    GROSS RENT","","","","","","","","","","","","","","","","","","","",""
"        Less than $200","47,066","10.0","71,963","3.8","58,334","6.0","42,721","8.1","29,597","10.5","52,432","5.6","27,496","6.5","117,323","4.4","41,617","4.9","74,886","22.1"
"        $200 to $299","48,015","10.2","64,650","3.4","55,958","5.8","48,384","9.2","30,029","10.6","53,063","5.6","31,965","7.6","123,921","4.7","36,814","4.4","51,725","15.2"
"        $300 to $499","159,828","34.1","347,435","18.4","201,087","20.9","180,965","34.4","94,192","33.3","253,017","26.8","122,673","29.1","665,505","25.1","159,610","18.9","80,088","23.6"
"        $500 to $749","123,614","26.3","722,946","38.3","301,088","31.2","150,656","28.7","73,158","25.9","328,027","34.7","139,071","33.0","981,603","37.1","258,786","30.7","30,744","9.1"
"        $750 to $999","30,122","6.4","392,136","20.8","200,611","20.8","36,729","7.0","16,861","6.0","129,815","13.7","40,644","9.7","408,142","15.4","170,908","20.3","7,583","2.2"
"        $1,000 to $1,499","9,101","1.9","155,594","8.2","75,550","7.8","11,752","2.2","4,000","1.4","39,870","4.2","13,136","3.1","167,914","6.3","96,258","11.4","3,360","1.0"
"        $1,500 or more","2,434","0.5","46,265","2.4","13,285","1.4","3,666","0.7","1,379","0.5","9,705","1.0","4,277","1.0","41,170","1.6","30,264","3.6","1,516","0.4"
"        No cash rent","48,949","10.4","88,466","4.7","58,533","6.1","50,849","9.7","33,284","11.8","78,346","8.3","41,884","9.9","143,618","5.4","49,176","5.8","89,524","26.4"
"        Median (dollars)","447","(X)","641","(X)","613","(X)","466","(X)","439","(X)","548","(X)","510","(X)","574","(X)","650","(X)","297","(X)"
"    GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN 1999","","","","","","","","","","","","","","","","","","","",""
"        Less than 15 percent","92,000","19.6","276,173","14.6","177,210","18.4","97,912","18.6","53,441","18.9","182,032","19.3","80,320","19.1","498,475","18.8","153,292","18.2","52,791","15.6"
"        15 to 19 percent","61,017","13.0","253,428","13.4","140,798","14.6","65,760","12.5","35,695","12.6","137,187","14.5","59,832","14.2","405,696","15.3","130,884","15.5","29,163","8.6"
"        20 to 24 percent","51,356","10.9","244,091","12.9","123,890","12.8","56,910","10.8","30,417","10.8","119,406","12.6","50,027","11.9","356,043","13.4","116,516","13.8","25,851","7.6"
"        25 to 29 percent","41,425","8.8","201,446","10.7","97,915","10.2","45,051","8.6","24,100","8.5","90,607","9.6","37,688","8.9","269,717","10.2","92,056","10.9","20,656","6.1"
"        30 to 34 percent","29,476","6.3","149,658","7.9","70,813","7.3","32,514","6.2","17,582","6.2","62,903","6.7","27,365","6.5","191,319","7.2","63,960","7.6","16,087","4.7"
"        35 percent or more","128,349","27.4","622,632","33.0","270,671","28.1","156,882","29.8","77,959","27.6","251,831","26.7","112,878","26.8","717,156","27.1","221,808","26.3","87,846","25.9"
"        Not computed","65,506","14.0","142,027","7.5","83,149","8.6","70,693","13.4","43,306","15.3","100,309","10.6","53,036","12.6","210,790","8.0","64,917","7.7","107,032","31.5"